2025-03-19 18:50:00,657 - INFO - Starting post-deployment data restoration
2025-03-19 18:50:00,744 - INFO - Database connection established
2025-03-19 18:50:00,744 - INFO - Transaction started
2025-03-19 18:50:00,758 - INFO - Data loaded from migration_data.json
2025-03-19 18:50:00,758 - INFO - === PRE-DEPLOYMENT DATA COUNTS (FROM JSON) ===
2025-03-19 18:50:00,759 - INFO - Committee Reports: 52
2025-03-19 18:50:00,759 - INFO - Agenda Items: 209
2025-03-19 18:50:00,759 - INFO - Removed Agenda Items: 19
2025-03-19 18:50:00,759 - INFO - Published Agenda Items: 34
2025-03-19 18:50:00,760 - INFO - Roll Calls: 1606
2025-03-19 18:50:01,707 - INFO - Agenda item mapping sample: (1283, 4400) -> 3
2025-03-19 18:50:01,708 - INFO - Agenda item mapping sample: (1283, 4401) -> 4
2025-03-19 18:50:01,708 - INFO - Agenda item mapping sample: (1283, 4402) -> 5
2025-03-19 18:50:01,708 - INFO - Agenda item mapping sample: (1301, 4464) -> 6
2025-03-19 18:50:01,708 - INFO - Agenda item mapping sample: (1301, 14774) -> 7
2025-03-19 18:50:01,708 - INFO - Agenda item mapping sample: (1673, 5824) -> 8
2025-03-19 18:50:01,708 - INFO - Agenda item mapping sample: (1673, 5825) -> 9
2025-03-19 18:50:01,708 - INFO - Agenda item mapping sample: (1673, 5826) -> 10
2025-03-19 18:50:01,708 - WARNING - No new agenda item ID found for meeting ID 1301 and agenda item ID 6593, skipping roll call
2025-03-19 18:50:01,709 - WARNING - No new agenda item ID found for meeting ID 1301 and agenda item ID 6593, skipping roll call
2025-03-19 18:50:01,709 - WARNING - No new agenda item ID found for meeting ID 1301 and agenda item ID 6593, skipping roll call
2025-03-19 18:50:01,709 - WARNING - No new agenda item ID found for meeting ID 1673 and agenda item ID 8554, skipping roll call
2025-03-19 18:50:01,709 - WARNING - No new agenda item ID found for meeting ID 1673 and agenda item ID 8554, skipping roll call
2025-03-19 18:50:01,709 - WARNING - No new agenda item ID found for meeting ID 1673 and agenda item ID 8554, skipping roll call
2025-03-19 18:50:01,709 - WARNING - No new agenda item ID found for meeting ID 1673 and agenda item ID 8555, skipping roll call
2025-03-19 18:50:01,709 - WARNING - No new agenda item ID found for meeting ID 1673 and agenda item ID 8555, skipping roll call
2025-03-19 18:50:01,710 - WARNING - No new agenda item ID found for meeting ID 1673 and agenda item ID 8555, skipping roll call
2025-03-19 18:50:01,710 - WARNING - No new agenda item ID found for meeting ID 1673 and agenda item ID 8556, skipping roll call
2025-03-19 18:50:01,710 - WARNING - No new agenda item ID found for meeting ID 1673 and agenda item ID 8556, skipping roll call
2025-03-19 18:50:01,710 - WARNING - No new agenda item ID found for meeting ID 1673 and agenda item ID 8556, skipping roll call
2025-03-19 18:50:01,711 - WARNING - No new agenda item ID found for meeting ID 1673 and agenda item ID 8557, skipping roll call
2025-03-19 18:50:01,711 - WARNING - No new agenda item ID found for meeting ID 1673 and agenda item ID 8557, skipping roll call
2025-03-19 18:50:01,711 - WARNING - No new agenda item ID found for meeting ID 1673 and agenda item ID 8557, skipping roll call
2025-03-19 18:50:01,711 - WARNING - No new agenda item ID found for meeting ID 2665 and agenda item ID 8558, skipping roll call
2025-03-19 18:50:01,711 - WARNING - No new agenda item ID found for meeting ID 2665 and agenda item ID 8558, skipping roll call
2025-03-19 18:50:01,712 - WARNING - No new agenda item ID found for meeting ID 2665 and agenda item ID 8558, skipping roll call
2025-03-19 18:50:01,712 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8559, skipping roll call
2025-03-19 18:50:01,712 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8559, skipping roll call
2025-03-19 18:50:01,712 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8559, skipping roll call
2025-03-19 18:50:01,712 - WARNING - No new agenda item ID found for meeting ID 934 and agenda item ID 8559, skipping roll call
